Reference area,Measure,Unit of measure,Regime,Time Period,Observation Value,Regime Name
Japan,Effective average tax rate,Percentage of taxable income,Regime 1,2002,35.67,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of taxable income,Regime 1,2002,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Cost of capital,Percentage of investment,Regime 1,2002,4.29,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of investment,Regime 1,2003,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Effective average tax rate,Percentage of taxable income,Regime 1,2003,35.67,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of taxable income,Regime 1,2003,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Cost of capital,Percentage of investment,Regime 1,2003,4.29,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of investment,Regime 1,2004,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Effective average tax rate,Percentage of taxable income,Regime 1,2004,34.51,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of taxable income,Regime 1,2004,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Cost of capital,Percentage of investment,Regime 1,2004,4.28,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of investment,Regime 1,2005,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Effective average tax rate,Percentage of taxable income,Regime 1,2005,34.51,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of taxable income,Regime 1,2005,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Cost of capital,Percentage of investment,Regime 1,2005,4.28,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of investment,Regime 1,2006,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Effective average tax rate,Percentage of taxable income,Regime 1,2006,34.51,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of taxable income,Regime 1,2006,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Cost of capital,Percentage of investment,Regime 1,2006,4.28,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of investment,Regime 1,2007,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Effective average tax rate,Percentage of taxable income,Regime 1,2007,34.51,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of taxable income,Regime 1,2007,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Cost of capital,Percentage of investment,Regime 1,2007,4.28,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of investment,Regime 1,2008,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Effective average tax rate,Percentage of taxable income,Regime 1,2008,34.51,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of taxable income,Regime 1,2008,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Cost of capital,Percentage of investment,Regime 1,2008,4.28,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of investment,Regime 1,2009,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Effective average tax rate,Percentage of taxable income,Regime 1,2009,34.51,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of taxable income,Regime 1,2009,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Cost of capital,Percentage of investment,Regime 1,2009,4.28,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of investment,Regime 1,2010,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Effective average tax rate,Percentage of taxable income,Regime 1,2010,34.51,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of taxable income,Regime 1,2010,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Cost of capital,Percentage of investment,Regime 1,2010,4.28,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of investment,Regime 1,2011,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Effective average tax rate,Percentage of taxable income,Regime 1,2011,34.51,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of taxable income,Regime 1,2011,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Cost of capital,Percentage of investment,Regime 1,2011,4.28,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of investment,Regime 1,2012,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Effective average tax rate,Percentage of taxable income,Regime 1,2012,32.29,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of taxable income,Regime 1,2012,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Cost of capital,Percentage of investment,Regime 1,2012,4.26,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of investment,Regime 1,2013,1.16,Tax deduction for MNEs conducting R&D - JPN
Japan,Effective average tax rate,Percentage of taxable income,Regime 1,2013,32.07,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of taxable income,Regime 1,2013,-0.22,Tax deduction for MNEs conducting R&D - JPN
Japan,Cost of capital,Percentage of investment,Regime 1,2013,5.42,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of investment,Regime 1,2014,1.05,Tax deduction for MNEs conducting R&D - JPN
Japan,Effective average tax rate,Percentage of taxable income,Regime 1,2014,30.01,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of taxable income,Regime 1,2014,-0.21,Tax deduction for MNEs conducting R&D - JPN
Japan,Cost of capital,Percentage of investment,Regime 1,2014,5.3,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of investment,Regime 1,2015,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Effective average tax rate,Percentage of taxable income,Regime 1,2015,28.03,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of taxable income,Regime 1,2015,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Cost of capital,Percentage of investment,Regime 1,2015,4.23,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of investment,Regime 1,2016,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Effective average tax rate,Percentage of taxable income,Regime 1,2016,26.16,Tax deduction for MNEs conducting R&D - JPN
Japan,Implicit subsidy,Percentage of taxable income,Regime 1,2016,0.0,Tax deduction for MNEs conducting R&D - JPN
Japan,Cost of capital,Percentage of investment,Regime 1,2016,4.22,Tax deduction for MNEs conducting R&D - JPN
Japan,Effective average tax rate,Percentage of taxable income,Regime 2,2017,25.98,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Implicit subsidy,Percentage of taxable income,Regime 2,2017,-0.18,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Implicit subsidy,Percentage of investment,Regime 2,2017,0.86,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Cost of capital,Percentage of investment,Regime 2,2017,5.07,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Implicit subsidy,Percentage of taxable income,Regime 2,2018,-0.18,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Implicit subsidy,Percentage of investment,Regime 2,2018,0.85,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Cost of capital,Percentage of investment,Regime 2,2018,5.06,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Effective average tax rate,Percentage of taxable income,Regime 2,2018,25.78,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Implicit subsidy,Percentage of taxable income,Regime 2,2019,-0.18,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Implicit subsidy,Percentage of investment,Regime 2,2019,0.85,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Cost of capital,Percentage of investment,Regime 2,2019,5.06,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Effective average tax rate,Percentage of taxable income,Regime 2,2019,25.78,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Implicit subsidy,Percentage of taxable income,Regime 2,2020,-0.18,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Implicit subsidy,Percentage of investment,Regime 2,2020,0.85,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Cost of capital,Percentage of investment,Regime 2,2020,5.06,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Effective average tax rate,Percentage of taxable income,Regime 2,2020,25.78,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Implicit subsidy,Percentage of taxable income,Regime 2,2021,-0.18,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Implicit subsidy,Percentage of investment,Regime 2,2021,0.85,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Cost of capital,Percentage of investment,Regime 2,2021,5.06,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Effective average tax rate,Percentage of taxable income,Regime 2,2021,25.78,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Implicit subsidy,Percentage of taxable income,Regime 2,2022,-0.18,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Implicit subsidy,Percentage of investment,Regime 2,2022,0.85,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Cost of capital,Percentage of investment,Regime 2,2022,5.06,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Effective average tax rate,Percentage of taxable income,Regime 2,2022,25.78,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Implicit subsidy,Percentage of taxable income,Regime 2,2023,-0.18,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Implicit subsidy,Percentage of investment,Regime 2,2023,0.85,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Cost of capital,Percentage of investment,Regime 2,2023,5.06,Tax incentive for specified business in the National Strategic Zones  - JPN
Japan,Effective average tax rate,Percentage of taxable income,Regime 2,2023,25.78,Tax incentive for specified business in the National Strategic Zones  - JPN
Korea,Cost of capital,Percentage of investment,Regime 1,2000,1.42,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of investment,Regime 1,2000,-2.78,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Effective average tax rate,Percentage of taxable income,Regime 1,2000,-8.91,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of taxable income,Regime 1,2000,-33.35,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Cost of capital,Percentage of investment,Regime 1,2001,1.42,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of investment,Regime 1,2001,-2.78,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Effective average tax rate,Percentage of taxable income,Regime 1,2001,-8.91,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of taxable income,Regime 1,2001,-33.35,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Cost of capital,Percentage of investment,Regime 1,2002,1.52,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of investment,Regime 1,2002,-2.68,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Effective average tax rate,Percentage of taxable income,Regime 1,2002,-8.59,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of taxable income,Regime 1,2002,-32.16,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Cost of capital,Percentage of investment,Regime 1,2003,1.52,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of investment,Regime 1,2003,-2.68,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Effective average tax rate,Percentage of taxable income,Regime 1,2003,-8.59,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of taxable income,Regime 1,2003,-32.16,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Cost of capital,Percentage of investment,Regime 1,2004,1.52,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of investment,Regime 1,2004,-2.68,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Effective average tax rate,Percentage of taxable income,Regime 1,2004,-8.59,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of taxable income,Regime 1,2004,-32.16,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Cost of capital,Percentage of investment,Regime 1,2005,1.71,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of investment,Regime 1,2005,-2.48,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Effective average tax rate,Percentage of taxable income,Regime 1,2005,-7.96,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of taxable income,Regime 1,2005,-29.78,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Cost of capital,Percentage of investment,Regime 1,2006,4.19,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of investment,Regime 1,2006,0.0,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Effective average tax rate,Percentage of taxable income,Regime 1,2006,21.82,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of taxable income,Regime 1,2006,0.0,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Cost of capital,Percentage of investment,Regime 1,2007,4.19,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of investment,Regime 1,2007,0.0,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Effective average tax rate,Percentage of taxable income,Regime 1,2007,21.82,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of taxable income,Regime 1,2007,0.0,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Cost of capital,Percentage of investment,Regime 1,2008,4.19,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of investment,Regime 1,2008,0.0,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Effective average tax rate,Percentage of taxable income,Regime 1,2008,21.82,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of taxable income,Regime 1,2008,0.0,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Cost of capital,Percentage of investment,Regime 1,2009,4.19,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of investment,Regime 1,2009,0.0,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Effective average tax rate,Percentage of taxable income,Regime 1,2009,21.82,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of taxable income,Regime 1,2009,0.0,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Cost of capital,Percentage of investment,Regime 1,2010,4.18,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of investment,Regime 1,2010,0.0,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Effective average tax rate,Percentage of taxable income,Regime 1,2010,19.2,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of taxable income,Regime 1,2010,0.0,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Cost of capital,Percentage of investment,Regime 1,2011,4.18,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of investment,Regime 1,2011,0.0,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Effective average tax rate,Percentage of taxable income,Regime 1,2011,19.2,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of taxable income,Regime 1,2011,0.0,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Cost of capital,Percentage of investment,Regime 1,2012,4.17,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of investment,Regime 1,2012,0.0,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Effective average tax rate,Percentage of taxable income,Regime 1,2012,17.46,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of taxable income,Regime 1,2012,0.0,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Cost of capital,Percentage of investment,Regime 1,2013,4.17,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of investment,Regime 1,2013,0.0,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Effective average tax rate,Percentage of taxable income,Regime 1,2013,17.46,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Implicit subsidy,Percentage of taxable income,Regime 1,2013,0.0,Tax reduction for transfer or leases of technology (first regime)   - KOR
Korea,Effective average tax rate,Percentage of taxable income,Regime 2,2014,11.5,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Implicit subsidy,Percentage of investment,Regime 2,2014,-0.58,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Implicit subsidy,Percentage of taxable income,Regime 2,2014,-5.96,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Cost of capital,Percentage of investment,Regime 2,2014,3.58,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Effective average tax rate,Percentage of taxable income,Regime 2,2015,11.5,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Implicit subsidy,Percentage of investment,Regime 2,2015,-0.58,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Implicit subsidy,Percentage of taxable income,Regime 2,2015,-5.96,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Cost of capital,Percentage of investment,Regime 2,2015,3.58,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Effective average tax rate,Percentage of taxable income,Regime 2,2016,11.5,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Implicit subsidy,Percentage of investment,Regime 2,2016,-0.58,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Implicit subsidy,Percentage of taxable income,Regime 2,2016,-5.96,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Cost of capital,Percentage of investment,Regime 2,2016,3.58,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Effective average tax rate,Percentage of taxable income,Regime 2,2017,11.5,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Implicit subsidy,Percentage of investment,Regime 2,2017,-0.58,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Implicit subsidy,Percentage of taxable income,Regime 2,2017,-5.96,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Cost of capital,Percentage of investment,Regime 2,2017,3.58,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Implicit subsidy,Percentage of investment,Regime 2,2018,-0.58,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Effective average tax rate,Percentage of taxable income,Regime 2,2018,11.5,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Implicit subsidy,Percentage of taxable income,Regime 2,2018,-5.96,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Cost of capital,Percentage of investment,Regime 2,2018,3.58,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Effective average tax rate,Percentage of taxable income,Regime 2,2019,11.5,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Implicit subsidy,Percentage of taxable income,Regime 2,2019,-5.96,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Cost of capital,Percentage of investment,Regime 2,2019,3.58,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Implicit subsidy,Percentage of investment,Regime 2,2019,-0.58,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Effective average tax rate,Percentage of taxable income,Regime 2,2020,11.5,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Implicit subsidy,Percentage of taxable income,Regime 2,2020,-5.96,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Cost of capital,Percentage of investment,Regime 2,2020,3.58,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Implicit subsidy,Percentage of investment,Regime 2,2020,-0.58,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Effective average tax rate,Percentage of taxable income,Regime 2,2021,11.5,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Implicit subsidy,Percentage of taxable income,Regime 2,2021,-5.96,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Cost of capital,Percentage of investment,Regime 2,2021,3.58,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Implicit subsidy,Percentage of investment,Regime 2,2021,-0.58,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Effective average tax rate,Percentage of taxable income,Regime 2,2022,11.5,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Implicit subsidy,Percentage of taxable income,Regime 2,2022,-5.96,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Cost of capital,Percentage of investment,Regime 2,2022,3.58,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Implicit subsidy,Percentage of investment,Regime 2,2022,-0.58,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Effective average tax rate,Percentage of taxable income,Regime 2,2023,11.5,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Implicit subsidy,Percentage of taxable income,Regime 2,2023,-5.96,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Cost of capital,Percentage of investment,Regime 2,2023,3.58,Tax reduction for transfer or leases of technology (second regime) - KOR
Korea,Implicit subsidy,Percentage of investment,Regime 2,2023,-0.58,Tax reduction for transfer or leases of technology (second regime) - KOR
Latvia,Implicit subsidy,Percentage of taxable income,Regime 1,2000,0.0,LVA
Latvia,Cost of capital,Percentage of investment,Regime 1,2000,4.1,LVA
Latvia,Implicit subsidy,Percentage of investment,Regime 1,2000,0.0,LVA
Latvia,Effective average tax rate,Percentage of taxable income,Regime 1,2000,0.0,LVA
Latvia,Implicit subsidy,Percentage of taxable income,Regime 1,2001,0.0,LVA
Latvia,Cost of capital,Percentage of investment,Regime 1,2001,4.1,LVA
Latvia,Implicit subsidy,Percentage of investment,Regime 1,2001,0.0,LVA
Latvia,Effective average tax rate,Percentage of taxable income,Regime 1,2001,0.0,LVA
Latvia,Implicit subsidy,Percentage of taxable income,Regime 1,2002,0.0,LVA
Latvia,Cost of capital,Percentage of investment,Regime 1,2002,4.1,LVA
Latvia,Implicit subsidy,Percentage of investment,Regime 1,2002,0.0,LVA
Latvia,Effective average tax rate,Percentage of taxable income,Regime 1,2002,0.0,LVA
Latvia,Implicit subsidy,Percentage of taxable income,Regime 1,2003,0.0,LVA
Latvia,Cost of capital,Percentage of investment,Regime 1,2003,4.1,LVA
Latvia,Implicit subsidy,Percentage of investment,Regime 1,2003,0.0,LVA
Latvia,Effective average tax rate,Percentage of taxable income,Regime 1,2003,0.0,LVA
Latvia,Implicit subsidy,Percentage of taxable income,Regime 1,2004,0.0,LVA
Latvia,Implicit subsidy,Percentage of investment,Regime 1,2004,0.0,LVA
Latvia,Cost of capital,Percentage of investment,Regime 1,2004,4.1,LVA
Latvia,Effective average tax rate,Percentage of taxable income,Regime 1,2004,0.0,LVA
Latvia,Implicit subsidy,Percentage of taxable income,Regime 1,2005,0.0,LVA
Latvia,Implicit subsidy,Percentage of investment,Regime 1,2005,0.0,LVA
Latvia,Cost of capital,Percentage of investment,Regime 1,2005,4.1,LVA
Latvia,Effective average tax rate,Percentage of taxable income,Regime 1,2005,0.0,LVA
Latvia,Implicit subsidy,Percentage of taxable income,Regime 1,2006,0.0,LVA
Latvia,Implicit subsidy,Percentage of investment,Regime 1,2006,0.0,LVA
Latvia,Cost of capital,Percentage of investment,Regime 1,2006,4.1,LVA
Latvia,Effective average tax rate,Percentage of taxable income,Regime 1,2006,0.0,LVA
Latvia,Implicit subsidy,Percentage of taxable income,Regime 1,2007,0.0,LVA
Latvia,Implicit subsidy,Percentage of investment,Regime 1,2007,0.0,LVA
Latvia,Cost of capital,Percentage of investment,Regime 1,2007,4.1,LVA
Latvia,Effective average tax rate,Percentage of taxable income,Regime 1,2007,0.0,LVA
Latvia,Implicit subsidy,Percentage of taxable income,Regime 1,2008,0.0,LVA
Latvia,Implicit subsidy,Percentage of investment,Regime 1,2008,0.0,LVA
Latvia,Cost of capital,Percentage of investment,Regime 1,2008,4.1,LVA
Latvia,Effective average tax rate,Percentage of taxable income,Regime 1,2008,0.0,LVA
Latvia,Implicit subsidy,Percentage of taxable income,Regime 1,2009,0.0,LVA
Latvia,Implicit subsidy,Percentage of investment,Regime 1,2009,0.0,LVA
Latvia,Cost of capital,Percentage of investment,Regime 1,2009,4.1,LVA
Latvia,Effective average tax rate,Percentage of taxable income,Regime 1,2009,0.0,LVA
Latvia,Implicit subsidy,Percentage of taxable income,Regime 1,2010,0.0,LVA
Latvia,Implicit subsidy,Percentage of investment,Regime 1,2010,0.0,LVA
Latvia,Cost of capital,Percentage of investment,Regime 1,2010,4.1,LVA
Latvia,Effective average tax rate,Percentage of taxable income,Regime 1,2010,0.0,LVA
Latvia,Implicit subsidy,Percentage of taxable income,Regime 1,2011,0.0,LVA
Latvia,Implicit subsidy,Percentage of investment,Regime 1,2011,0.0,LVA
Latvia,Cost of capital,Percentage of investment,Regime 1,2011,4.1,LVA
Latvia,Effective average tax rate,Percentage of taxable income,Regime 1,2011,0.0,LVA
Latvia,Implicit subsidy,Percentage of taxable income,Regime 1,2012,0.0,LVA
Latvia,Implicit subsidy,Percentage of investment,Regime 1,2012,0.0,LVA
Latvia,Cost of capital,Percentage of investment,Regime 1,2012,4.1,LVA
Latvia,Effective average tax rate,Percentage of taxable income,Regime 1,2012,0.0,LVA
Latvia,Implicit subsidy,Percentage of taxable income,Regime 1,2013,0.0,LVA
Latvia,Implicit subsidy,Percentage of investment,Regime 1,2013,0.0,LVA
Latvia,Cost of capital,Percentage of investment,Regime 1,2013,4.1,LVA
Latvia,Effective average tax rate,Percentage of taxable income,Regime 1,2013,0.0,LVA
Latvia,Implicit subsidy,Percentage of taxable income,Regime 1,2014,0.0,LVA
Latvia,Implicit subsidy,Percentage of investment,Regime 1,2014,0.0,LVA
Latvia,Cost of capital,Percentage of investment,Regime 1,2014,4.1,LVA
Latvia,Effective average tax rate,Percentage of taxable income,Regime 1,2014,0.0,LVA
Latvia,Implicit subsidy,Percentage of taxable income,Regime 1,2015,0.0,LVA
Latvia,Implicit subsidy,Percentage of investment,Regime 1,2015,0.0,LVA
Latvia,Cost of capital,Percentage of investment,Regime 1,2015,4.1,LVA
Latvia,Effective average tax rate,Percentage of taxable income,Regime 1,2015,0.0,LVA
Latvia,Implicit subsidy,Percentage of taxable income,Regime 1,2016,0.0,LVA
Latvia,Implicit subsidy,Percentage of investment,Regime 1,2016,0.0,LVA
Latvia,Cost of capital,Percentage of investment,Regime 1,2016,4.1,LVA
Latvia,Effective average tax rate,Percentage of taxable income,Regime 1,2016,0.0,LVA
Latvia,Implicit subsidy,Percentage of taxable income,Regime 1,2017,0.0,LVA
Latvia,Implicit subsidy,Percentage of investment,Regime 1,2017,0.0,LVA
Latvia,Cost of capital,Percentage of investment,Regime 1,2017,4.1,LVA
Latvia,Effective average tax rate,Percentage of taxable income,Regime 1,2017,0.0,LVA
Latvia,Implicit subsidy,Percentage of taxable income,Regime 1,2018,0.0,LVA
Latvia,Implicit subsidy,Percentage of investment,Regime 1,2018,0.0,LVA
Latvia,Cost of capital,Percentage of investment,Regime 1,2018,4.1,LVA
Latvia,Effective average tax rate,Percentage of taxable income,Regime 1,2018,0.0,LVA
